,manufact,model,sales,resale,type,price,engine_s,horsepow,wheelbas,width,length,curb_wgt,fuel_cap,mpg,lnsales,partition
14,Cadillac,Catera,11.185,18.225,0.0,31.01,3.0,200.0,107.4,70.3,194.8,3.77,18.0,22.0,2.415,0.0
15,Chevrolet,Cavalier,145.519,9.25,0.0,13.26,2.2,115.0,104.1,67.9,180.9,2.676,14.3,27.0,4.98,0.0
16,Chevrolet,Malibu,135.126,11.225,0.0,16.535,3.1,170.0,107.0,69.4,190.4,3.051,15.0,25.0,4.906,0.0
17,Chevrolet,Lumina,24.629,10.31,0.0,18.89,3.1,175.0,107.5,72.5,200.9,3.33,16.6,25.0,3.204,0.0
18,Chevrolet,Monte Carlo,42.593,11.525,0.0,19.39,3.4,180.0,110.5,72.7,197.9,3.34,17.0,27.0,3.752,0.0
19,Chevrolet,Camaro,26.402,13.025,0.0,24.34,3.8,200.0,101.1,74.1,193.2,3.5,16.8,25.0,3.273,0.0
20,Chevrolet,Corvette,17.947,36.225,0.0,45.705,5.7,345.0,104.5,73.6,179.7,3.21,19.1,22.0,2.887,0.0
21,Chevrolet,Prizm,32.299,9.125,0.0,13.96,1.8,120.0,97.1,66.7,174.3,2.398,13.2,33.0,3.475,0.0
22,Chevrolet,Metro,21.855,5.16,0.0,9.235,1.0,55.0,93.1,62.6,149.4,1.895,10.3,45.0,3.084,0.0
23,Chrysler,Sebring Coupe,7.854,12.36,0.0,19.84,2.5,163.0,103.7,69.7,190.9,2.967,15.9,24.0,2.061,0.0
24,Chrysler,Sebring Conv.,32.775,14.18,0.0,24.495,2.5,168.0,106.0,69.2,193.0,3.332,16.0,24.0,3.49,0.0
25,Chrysler,Concorde,31.148,13.725,0.0,22.245,2.7,200.0,113.0,74.4,209.1,3.452,17.0,26.0,3.439,0.0
26,Chrysler,Cirrus,32.306,12.64,0.0,16.48,2.0,132.0,108.0,71.0,186.0,2.911,16.0,27.0,3.475,0.0
27,Chrysler,LHS,13.462,17.325,0.0,28.34,3.5,253.0,113.0,74.4,207.7,3.564,17.0,23.0,2.6,0.0
28,Dodge,Neon,76.034,7.75,0.0,12.64,2.0,132.0,105.0,74.4,174.4,2.567,12.5,29.0,4.331,0.0
29,Dodge,Avenger,4.734,12.545,0.0,19.045,2.5,163.0,103.7,69.1,190.2,2.879,15.9,24.0,1.555,0.0
30,Dodge,Stratus,71.186,10.185,0.0,20.23,2.5,168.0,108.0,71.0,186.0,3.058,16.0,24.0,4.265,0.0
31,Dodge,Viper,0.916,58.47,0.0,69.725,8.0,450.0,96.2,75.7,176.7,3.375,19.0,16.0,-0.088,0.0
32,Dodge,Ram Pickup,227.061,15.06,1.0,19.46,5.2,230.0,138.7,79.3,224.2,4.47,26.0,17.0,5.425,0.0
33,Dodge,Ram Wagon,16.767,15.51,1.0,21.315,3.9,175.0,109.6,78.8,192.6,4.245,32.0,15.0,2.819,0.0
34,Dodge,Ram Van,31.038,13.425,1.0,18.575,3.9,175.0,127.2,78.8,208.5,4.298,32.0,16.0,3.435,0.0
35,Dodge,Dakota,111.313,11.26,1.0,16.98,2.5,120.0,131.0,71.5,215.0,3.557,22.0,19.0,4.712,0.0
36,Dodge,Caravan,181.749,12.025,1.0,19.565,2.4,150.0,113.3,76.8,186.3,3.533,20.0,24.0,5.203,0.0
37,Ford,Escort,70.227,7.425,0.0,12.07,2.0,110.0,98.4,67.0,174.7,2.468,12.7,30.0,4.252,0.0
38,Ford,Mustang,113.369,12.76,0.0,21.56,3.8,190.0,101.3,73.1,183.2,3.203,15.7,24.0,4.731,0.0
39,Ford,Contour,35.068,8.835,0.0,17.035,2.5,170.0,106.5,69.1,184.6,2.769,15.0,25.0,3.557,0.0
40,Ford,Taurus,245.815,10.055,0.0,17.885,3.0,155.0,108.5,73.0,197.6,3.368,16.0,24.0,5.505,0.0
41,Ford,Crown Victoria,63.403,14.21,0.0,22.195,4.6,200.0,114.7,78.2,212.0,3.908,19.0,21.0,4.15,0.0
42,Ford,Explorer,276.747,16.64,1.0,31.93,4.0,210.0,111.6,70.2,190.7,3.876,21.0,19.0,5.623,0.0
43,Ford,Windstar,155.787,13.175,1.0,21.41,3.0,150.0,120.7,76.6,200.9,3.761,26.0,21.0,5.048,0.0
44,Ford,Expedition,125.338,23.575,1.0,36.135,4.6,240.0,119.0,78.7,204.6,4.808,26.0,16.0,4.831,0.0
45,Ford,Ranger,220.65,7.85,1.0,12.05,2.5,119.0,117.5,69.4,200.7,3.086,20.0,23.0,5.397,0.0
46,Ford,F-Series,540.561,15.075,1.0,26.935,4.6,220.0,138.5,79.1,224.5,4.241,25.1,18.0,6.293,0.0
47,Honda,Civic,199.685,9.85,0.0,12.885,1.6,106.0,103.2,67.1,175.1,2.339,11.9,32.0,5.297,0.0
48,Honda,Accord,230.902,13.21,0.0,15.35,2.3,135.0,106.9,70.3,188.8,2.932,17.1,27.0,5.442,0.0
49,Honda,CR-V,73.203,17.71,1.0,20.55,2.0,146.0,103.2,68.9,177.6,3.219,15.3,24.0,4.293,0.0
50,Honda,Passport,12.855,17.525,1.0,26.6,3.2,205.0,106.4,70.4,178.2,3.857,21.1,19.0,2.554,0.0
51,Honda,Odyssey,76.029,19.49,1.0,26.0,3.5,210.0,118.1,75.6,201.2,4.288,20.0,23.0,4.331,0.0
52,Hyundai,Accent,41.184,5.86,0.0,9.699,1.5,92.0,96.1,65.7,166.7,2.24,11.9,31.0,3.718,0.0
53,Hyundai,Elantra,66.692,7.825,0.0,11.799,2.0,140.0,100.4,66.9,174.0,2.626,14.5,27.0,4.2,0.0
54,Hyundai,Sonata,29.45,8.91,0.0,14.999,2.4,148.0,106.3,71.6,185.4,3.072,17.2,25.0,3.383,0.0
55,Infiniti,I30,23.713,19.69,0.0,29.465,3.0,227.0,108.3,70.2,193.7,3.342,18.5,25.0,3.166,0.0
56,Jeep,Wrangler,55.557,13.475,1.0,14.46,2.5,120.0,93.4,66.7,152.0,3.045,19.0,17.0,4.017,0.0
57,Jeep,Cherokee,80.556,13.775,1.0,21.62,4.0,190.0,101.4,69.4,167.5,3.194,20.0,20.0,4.389,0.0
58,Jeep,Grand Cherokee,157.04,18.81,1.0,26.895,4.0,195.0,105.9,72.3,181.5,3.88,20.5,19.0,5.057,0.0
59,Lexus,ES300,24.072,26.975,0.0,31.505,3.0,210.0,105.1,70.5,190.2,3.373,18.5,23.0,3.181,0.0
60,Lexus,GS300,12.698,32.075,0.0,37.805,3.0,225.0,110.2,70.9,189.2,3.638,19.8,23.0,2.541,0.0
61,Lexus,LS400,6.375,40.375,0.0,54.005,4.0,290.0,112.2,72.0,196.7,3.89,22.5,22.0,1.852,0.0
62,Lincoln,Continental,13.798,20.525,0.0,39.08,4.6,275.0,109.0,73.6,208.5,3.868,20.0,22.0,2.625,0.0
63,Lincoln,Town car,48.911,21.725,0.0,43.33,4.6,215.0,117.7,78.2,215.3,4.121,19.0,21.0,3.89,0.0
64,Mitsubishi,Mirage,26.232,8.325,0.0,13.987,1.8,113.0,98.4,66.5,173.6,2.25,13.2,30.0,3.267,0.0
65,Mitsubishi,Eclipse,42.541,10.395,0.0,19.047,2.4,154.0,100.8,68.9,175.4,2.91,15.9,24.0,3.75,0.0
66,Mitsubishi,Galant,55.616,10.595,0.0,17.357,2.4,145.0,103.7,68.5,187.8,2.945,16.3,25.0,4.018,0.0
67,Mitsubishi,Diamante,5.711,16.575,0.0,24.997,3.5,210.0,107.1,70.3,194.1,3.443,19.0,22.0,1.742,0.0
68,Mitsubishi,3000GT,0.11,20.94,0.0,25.45,3.0,161.0,97.2,72.4,180.3,3.131,19.8,21.0,-2.207,0.0
69,Mitsubishi,Montero,11.337,19.125,1.0,31.807,3.5,200.0,107.3,69.9,186.6,4.52,24.3,18.0,2.428,0.0
70,Mitsubishi,Montero Sport,39.348,13.88,1.0,22.527,3.0,173.0,107.3,66.7,178.3,3.51,19.5,20.0,3.672,0.0
71,Mercury,Mystique,14.351,8.8,0.0,16.24,2.0,125.0,106.5,69.1,184.8,2.769,15.0,28.0,2.664,0.0
72,Mercury,Cougar,26.529,13.89,0.0,16.54,2.0,125.0,106.4,69.6,185.0,2.892,16.0,30.0,3.278,0.0
73,Mercury,Sable,67.956,11.03,0.0,19.035,3.0,153.0,108.5,73.0,199.7,3.379,16.0,24.0,4.219,0.0
74,Mercury,Grand Marquis,81.174,14.875,0.0,22.605,4.6,200.0,114.7,78.2,212.0,3.958,19.0,21.0,4.397,0.0
75,Mercury,Mountaineer,27.609,20.43,1.0,27.56,4.0,210.0,111.6,70.2,190.1,3.876,21.0,18.0,3.318,0.0
76,Mercury,Villager,20.38,14.795,1.0,22.51,3.3,170.0,112.2,74.9,194.7,3.944,20.0,21.0,3.015,0.0
77,Mercedes-Benz,C-Class,18.392,26.05,0.0,31.75,2.3,185.0,105.9,67.7,177.4,3.25,16.4,26.0,2.912,0.0
78,Mercedes-Benz,E-Class,27.602,41.45,0.0,49.9,3.2,221.0,111.5,70.8,189.4,3.823,21.1,25.0,3.318,0.0
79,Mercedes-Benz,S-Class,16.774,50.375,0.0,69.7,4.3,275.0,121.5,73.1,203.1,4.133,23.2,21.0,2.82,0.0
80,Mercedes-Benz,SL-Class,3.311,58.6,0.0,82.6,5.0,302.0,99.0,71.3,177.1,4.125,21.1,20.0,1.197,0.0
81,Nissan,Sentra,42.643,8.45,0.0,13.499,1.8,126.0,99.8,67.3,177.5,2.593,13.2,30.0,3.753,0.0
82,Nissan,Altima,88.094,11.295,0.0,20.39,2.4,155.0,103.1,69.1,183.5,3.012,15.9,25.0,4.478,0.0
83,Nissan,Maxima,79.853,15.125,0.0,26.249,3.0,222.0,108.3,70.3,190.5,3.294,18.5,25.0,4.38,0.0
84,Nissan,Quest,27.308,15.38,1.0,26.399,3.3,170.0,112.2,74.9,194.8,3.991,20.0,21.0,3.307,0.0
85,Nissan,Pathfinder,42.574,17.81,1.0,29.299,3.3,170.0,106.3,71.7,182.6,3.947,21.0,19.0,3.751,0.0
86,Oldsmobile,Cutlass,1.112,11.24,0.0,18.145,3.1,150.0,107.0,69.4,192.0,3.102,15.2,25.0,0.106,0.0
87,Oldsmobile,Aurora,14.69,19.89,0.0,36.229,4.0,250.0,113.8,74.4,205.4,3.967,18.5,22.0,2.687,0.0
88,Oldsmobile,Bravada,20.017,19.925,1.0,31.598,4.3,190.0,107.0,67.8,181.2,4.068,17.5,19.0,2.997,0.0
89,Oldsmobile,Silhouette,24.361,15.24,1.0,25.345,3.4,185.0,120.0,72.2,201.4,3.948,25.0,22.0,3.193,0.0
90,Plymouth,Neon,32.734,7.75,0.0,12.64,2.0,132.0,105.0,74.4,174.4,2.559,12.5,29.0,3.488,0.0
91,Plymouth,Breeze,5.24,9.8,0.0,16.08,2.0,132.0,108.0,71.0,186.3,2.942,16.0,27.0,1.656,0.0
92,Plymouth,Voyager,24.155,12.025,1.0,18.85,2.4,150.0,113.3,76.8,186.3,3.528,20.0,24.0,3.184,0.0
93,Pontiac,Sunfire,51.645,13.79,0.0,21.61,2.4,150.0,104.1,68.4,181.9,2.906,15.0,27.0,3.944,0.0
94,Pontiac,Grand Am,131.097,10.29,0.0,19.72,3.4,175.0,107.0,70.4,186.3,3.091,15.2,25.0,4.876,0.0
95,Pontiac,Firebird,19.911,17.805,0.0,25.31,3.8,200.0,101.1,74.5,193.4,3.492,16.8,25.0,2.991,0.0
96,Pontiac,Grand Prix,92.364,14.01,0.0,21.665,3.8,195.0,110.5,72.7,196.5,3.396,18.0,25.0,4.526,0.0
97,Pontiac,Bonneville,35.945,13.225,0.0,23.755,3.8,205.0,112.2,72.6,202.5,3.59,17.5,24.0,3.582,0.0
98,Porsche,Boxter,8.982,41.25,0.0,41.43,2.7,217.0,95.2,70.1,171.0,2.778,17.0,22.0,2.195,0.0
99,Porsche,Carrera Coupe,1.28,60.625,0.0,71.02,3.4,300.0,92.6,69.5,174.5,3.032,17.0,21.0,0.247,0.0
100,Porsche,Carrera Cabriolet,1.866,67.55,0.0,74.97,3.4,300.0,92.6,69.5,174.5,3.075,17.0,23.0,0.624,0.0
101,Saturn,SL,80.62,9.2,0.0,10.685,1.9,100.0,102.4,66.4,176.9,2.332,12.1,33.0,4.39,0.0
102,Saturn,SC,24.546,10.59,0.0,12.535,1.9,100.0,102.4,66.4,180.0,2.367,12.1,33.0,3.201,0.0
103,Saturn,SW,5.223,10.79,0.0,14.29,1.9,124.0,102.4,66.4,176.9,2.452,12.1,31.0,1.653,0.0
104,Toyota,Corolla,142.535,10.025,0.0,13.108,1.8,120.0,97.0,66.7,174.0,2.42,13.2,33.0,4.96,0.0
105,Toyota,Camry,247.994,13.245,0.0,17.518,2.2,133.0,105.2,70.1,188.5,2.998,18.5,27.0,5.513,0.0
106,Toyota,Avalon,63.849,18.14,0.0,25.545,3.0,210.0,107.1,71.7,191.9,3.417,18.5,26.0,4.157,0.0
107,Toyota,Celica,33.269,15.445,0.0,16.875,1.8,140.0,102.4,68.3,170.5,2.425,14.5,31.0,3.505,0.0
108,Toyota,Tacoma,84.087,9.575,1.0,11.528,2.4,142.0,103.3,66.5,178.7,2.58,15.1,23.0,4.432,0.0
109,Toyota,RAV4,25.106,13.325,1.0,16.888,2.0,127.0,94.9,66.7,163.8,2.668,15.3,27.0,3.223,0.0
110,Toyota,4Runner,68.411,19.425,1.0,22.288,2.7,150.0,105.3,66.5,183.3,3.44,18.5,23.0,4.226,0.0
111,Toyota,Land Cruiser,9.835,34.08,1.0,51.728,4.7,230.0,112.2,76.4,192.5,5.115,25.4,15.0,2.286,0.0
112,Volkswagen,Golf,9.761,11.425,0.0,14.9,2.0,115.0,98.9,68.3,163.3,2.767,14.5,26.0,2.278,0.0
113,Volkswagen,Jetta,83.721,13.24,0.0,16.7,2.0,115.0,98.9,68.3,172.3,2.853,14.5,26.0,4.427,0.0
114,Volkswagen,Passat,51.102,16.725,0.0,21.2,1.8,150.0,106.4,68.5,184.1,3.043,16.4,27.0,3.934,0.0
115,Volkswagen,Cabrio,9.569,16.575,0.0,19.99,2.0,115.0,97.4,66.7,160.4,3.079,13.7,26.0,2.259,0.0
116,Volkswagen,GTI,5.596,13.76,0.0,17.5,2.0,115.0,98.9,68.3,163.3,2.762,14.6,26.0,1.722,0.0
